iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
ESP,2009,37.159019470214844,21.861562728881836,198.3152313232422,17.879627227783203,0.0,10.955231666564941
ESP,2010,38.40642547607422,21.624107360839844,210.18348693847653,19.185497283935547,0.0,12.896537780761719
ESP,2011,37.90645980834962,21.54043197631836,197.97169494628906,27.572265625000004,1.2008841037750244,12.126898765563965
ESP,2012,36.716556549072266,22.04261016845703,212.84307861328125,38.08712768554687,6.377211570739746,14.498586654663086
ESP,2013,37.786434173583984,21.826141357421875,211.4616394042969,29.359695434570312,4.255860805511475,11.457886695861815
ESP,2014,37.50635528564453,22.071317672729492,214.12600708007812,27.849193572998047,4.162513256072998,13.46406364440918
ESP,2015,38.44955825805664,22.520597457885742,249.8840789794922,33.485965728759766,29.069053649902344,17.699153900146484
ESP,2016,39.20720291137695,23.31976890563965,226.2493896484375,36.19523239135742,11.516650199890137,18.928491592407227
ESP,2017,37.10426712036133,21.043298721313477,212.66143798828125,18.642087936401367,8.014567375183105,14.450459480285645
ESP,2018,37.16967010498047,21.37495231628418,211.86549377441406,17.370874404907227,8.734821319580078,21.378765106201172
ETH,2000,,29.73319704279528,363.6120805895131,246.99498576633076,,14.908238981713959
ETH,2001,44.73324156490689,29.63899184152865,362.9296485662975,252.0322687892862,8.90882421987013,13.946421769933709
ETH,2002,45.63710736233424,30.497722685076482,361.2384484131724,258.02645373858263,24.09536779340377,18.829249911414017
ETH,2003,45.47173671172569,30.927965775070973,363.4457293517909,257.9215707489339,16.624654853912343,17.442927087239823
ETH,2004,45.0241512046127,29.828627164970957,363.7425251607391,260.0021211394911,12.295694136722854,18.094257617411113
ETH,2005,45.940564218466484,30.832889423616432,362.93862416556965,266.0325471903324,33.55623892420732,20.623319312580783
ETH,2006,45.18373798990777,31.266811369430297,359.4712107193992,229.83387575284243,13.652270019852343,14.458987751689703
ETH,2007,44.69042183732936,30.740602003410856,360.8210641387614,253.03876249354147,3.556291348461722,15.407660442477704
ETH,2008,43.603874728278534,29.830184707493878,359.5025187166537,270.59149536371586,4.560520613562286,18.563624747051783
ETH,2009,44.52989832541423,30.60609442726005,364.02524396761737,271.2902260149127,24.76175686073705,27.922828520242028
ETH,2010,,33.540897216069524,,232.7430879434818,,40.9875857035319
ETH,2011,,33.53523735738149,,188.70437258165657,,17.563631057739258
ETH,2012,,32.08553266372717,,186.47808551754528,,33.620957692464195
